#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.bike_name,ltable.city_posted,ltable.km_driven,ltable.price,ltable.color,rtable.bike_name,rtable.city_posted,rtable.km_driven,rtable.price,rtable.color
2254,36082,26163,Royal Enfield Bullet Electra Twinspark,Delhi,900,110000,Black,Royal Enfield Classic 350 Standard,Delhi,750,140000,Silver
2907,36082,32951,Royal Enfield Bullet Electra Twinspark,Delhi,900,110000,Black,Royal Enfield Thunderbird 500 Standard,Delhi,700,180000,flicker black
2957,36082,33420,Royal Enfield Bullet Electra Twinspark,Delhi,900,110000,Black,Royal Enfield Thunderbird 350 Disc,Delhi,100,150000,Metallic Brown
4637,36197,16460,Bajaj Pulsar 135,Delhi,36626,23000,Red,Bajaj Pulsar 180 DTS- i Standard,Delhi,36000,32000,Plasma Blu
4688,36197,17026,Bajaj Pulsar 135,Delhi,36626,23000,Red,Bajaj Pulsar 220F Standard,Delhi,37000,50000,blue
5605,36197,27583,Bajaj Pulsar 135,Delhi,36626,23000,Red,Bajaj Pulsar 180 DTS- i Standard,Delhi,37000,26000,Red
5733,36197,28808,Bajaj Pulsar 135,Delhi,36626,23000,Red,Bajaj Pulsar 180 DTS- i Standard,Delhi,36500,30000,black
6159,36197,33170,Bajaj Pulsar 135,Delhi,36626,23000,Red,Bajaj Pulsar 150 DTS- i Standard,Delhi,36500,40000,Black
6356,36197,35021,Bajaj Pulsar 135,Delhi,36626,23000,Red,Bajaj Pulsar 150 DTS- i Standard,Delhi,36800,35000,Silver
14561,36200,19200,Bajaj Pulsar 150cc Dtsi,Delhi,22000,24000,Black,Bajaj Pulsar 150 DTS- i Standard,Delhi,23000,35000,RED
16609,36201,5510,Bajaj Pulsar 150cc Dtsi,Delhi,40000,14500,Silver,Bajaj Pulsar 150 DTS- i Standard,Delhi,40000,30000,Black
16926,36201,9596,Bajaj Pulsar 150cc Dtsi,Delhi,40000,14500,Silver,Bajaj Pulsar 180 DTS- i Standard,Delhi,40000,30000,Black
17033,36201,10851,Bajaj Pulsar 150cc Dtsi,Delhi,40000,14500,Silver,Bajaj Pulsar 180 DTS- i Standard,Delhi,40000,30000,Black
17802,36201,19310,Bajaj Pulsar 150cc Dtsi,Delhi,40000,14500,Silver,Bajaj Pulsar 150 DTS- i Standard,Delhi,41000,18000,black
19257,36201,34973,Bajaj Pulsar 150cc Dtsi,Delhi,40000,14500,Silver,Bajaj Pulsar 180 DTS- i Standard,Delhi,40000,15000,Black
19283,36201,35181,Bajaj Pulsar 150cc Dtsi,Delhi,40000,14500,Silver,Bajaj Pulsar 180 DTS- i Standard,Delhi,40000,12500,Black
19319,36201,35445,Bajaj Pulsar 150cc Dtsi,Delhi,40000,14500,Silver,Bajaj Pulsar 150 DTS- i Standard,Delhi,40000,15000,black
26288,36204,5474,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar 220F Standard,Delhi,14000,67000,black
26585,36204,9346,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar NS200 Standard,Delhi,13000,70000,Yellow
27082,36204,14831,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Avenger 220 DTS- i,Delhi,13000,60000,Red
27852,36204,23587,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar 180 DTS- i Standard,Delhi,15000,60000,blue
27960,36204,24892,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar 135 LS Standard,Delhi,13000,36000,black
28478,36204,30437,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar 135 LS Standard,Delhi,13000,45000,Red
28665,36204,32357,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar 220 Fi Standard,Delhi,15000,72000,Red Solo
28779,36204,33528,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar 150 DTS- i Standard,Delhi,13300,45000,Black
28780,36204,33529,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar 150 DTS- i Standard,Delhi,13300,45000,Black
28808,36204,33724,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar AS150 Standard,Delhi,15000,35000,black
28890,36204,34587,Bajaj Pulsar 220F Dtsi,Delhi,14000,50000,RedNBlack,Bajaj Pulsar NS200 Standard,Delhi,14000,70000,Blue
29444,36205,4688,Bajaj Pulsar 180cc Dtsi,Delhi,50000,29999,RoyalBlue,Bajaj Pulsar 150 DTS- i Standard,Delhi,50000,30000,RED
30459,36205,16547,Bajaj Pulsar 180cc Dtsi,Delhi,50000,29999,RoyalBlue,Bajaj Pulsar 150 DTS- i Standard,Delhi,51000,30000,red
30655,36205,18625,Bajaj Pulsar 180cc Dtsi,Delhi,50000,29999,RoyalBlue,Bajaj Pulsar 150 DTS- i Standard,Delhi,50000,30000,Blue
30872,36205,20943,Bajaj Pulsar 180cc Dtsi,Delhi,50000,29999,RoyalBlue,Bajaj Pulsar 150 DTS- i Standard,Delhi,50000,35000,black
33229,36206,11516,Bajaj Pulsar 150cc Dtsi,Delhi,43000,16000,Black,Bajaj Pulsar 150 DTS- i Standard,Delhi,43000,22000,Black
33499,36206,14384,Bajaj Pulsar 150cc Dtsi,Delhi,43000,16000,Black,Bajaj Pulsar 180 DTS- i Standard,Delhi,43000,25000,Black
36966,36207,17094,Bajaj Pulsar 150cc Dtsi,Delhi,70000,12000,Blue,Bajaj Pulsar 150 Kick Start,Delhi,70000,15000,Black
37232,36207,19954,Bajaj Pulsar 150cc Dtsi,Delhi,70000,12000,Blue,Bajaj Pulsar 150 Kick Start,Delhi,70000,15000,silver
40286,36208,18019,Bajaj Avenger 180,Delhi,41000,30000,MattlicGrey,Bajaj Avenger 220 DTS- i,Delhi,40000,25000,silver
44456,36209,28789,Bajaj Pulsar 135,Delhi,16000,59000,Black,Bajaj Pulsar 200 Standard,Delhi,16000,70000,black
46778,36210,18512,Bajaj Pulsar 200 SS,Delhi,70000,34000,Red,Bajaj Pulsar 150 DTS- i Kick Start,Delhi,70000,30000,black
48328,36210,35198,Bajaj Pulsar 200 SS,Delhi,70000,34000,Red,Bajaj Pulsar 150 DTS- i Standard,Delhi,71000,25000,M black
51168,36211,31601,Bajaj Pulsar 150cc Dtsi,Delhi,30000,58000,Black,Bajaj Pulsar 150 DTS- i Standard,Delhi,29000,52000,black
51517,36211,34914,Bajaj Pulsar 150cc Dtsi,Delhi,30000,58000,Black,Bajaj Pulsar 150 DTS- i Kick Start,Delhi,30000,55000,blue
56241,36213,16004,Hero Honda Karizma Zmr Pgm Fi,Delhi,44000,39000,Red,Hero Honda CD Deluxe Standard,Delhi,45000,25000,red and black
57667,36213,31966,Hero Honda Karizma Zmr Pgm Fi,Delhi,44000,39000,Red,Hero Honda Hunk Standard,Delhi,44000,40000,Cheery Red
62584,36215,14877,Hero Honda Splendor Plus,Delhi,35000,21999,Black,Hero Honda Karizma Standard,Delhi,35000,45000,Black
63435,36215,24679,Hero Honda Splendor Plus,Delhi,35000,21999,Black,Hero Honda Hunk Standard,Delhi,34000,27000,Mettalic Silver
63437,36215,24681,Hero Honda Splendor Plus,Delhi,35000,21999,Black,Hero Honda Hunk Standard,Delhi,34000,27000,Silver
70252,36217,28620,Hero Honda CBZ Disc,Delhi,58000,15000,Black,Hero Honda Passion Standard,Delhi,59000,11000,Red
75603,36219,16004,Hero Honda Glamour,Delhi,45000,23000,Black,Hero Honda CD Deluxe Standard,Delhi,45000,25000,red and black
77029,36219,31966,Hero Honda Glamour,Delhi,45000,23000,Black,Hero Honda Hunk Standard,Delhi,44000,40000,Cheery Red
