;id_l;id_r;regular_jaccard;exec_time_regular;bc_jaccard;calc_bcjaccard;exec_time_bc;estimated_gas
0;36082;26163;0.39588688946015427;0.0;39;0.39588688946015427;0.19669461250305176;2069738
1;36082;32951;0.4219512195121951;0.0;42;0.4219512195121951;0.19126248359680176;2086160
2;36082;33420;0.38405797101449274;0.0;38;0.38405797101449274;0.20947957038879395;2075598
3;36197;16460;0.4084967320261438;0.0;40;0.4084967320261438;0.1939525604248047;2040648
4;36197;17026;0.444015444015444;0.0;44;0.444015444015444;0.27318811416625977;2029165
5;36197;27583;0.5686274509803921;0.0;56;0.5686274509803921;0.1895153522491455;2052159
6;36197;28808;0.43006993006993005;0.0;43;0.43006993006993005;0.18199992179870605;2037514
7;36197;33170;0.43205574912891986;0.0;43;0.43205574912891986;0.2290961742401123;2038370
8;36197;35021;0.42758620689655175;0.0;42;0.42758620689655175;0.2143397331237793;2038607
9;36200;19200;0.4583333333333333;0.0;45;0.4583333333333333;0.20112967491149902;2055108
10;36201;5510;0.44648318042813456;0.0;44;0.44648318042813456;0.18794989585876465;2058624
11;36201;9596;0.4107142857142857;0.0;41;0.4107142857142857;0.18901610374450684;2053119
12;36201;10851;0.4107142857142857;0.0;41;0.4107142857142857;0.21086621284484863;2053119
13;36201;19310;0.4520123839009288;0.0;45;0.4520123839009288;0.19547605514526367;2058308
14;36201;34973;0.4107142857142857;0.0;41;0.4107142857142857;0.20699858665466309;2053119
15;36201;35181;0.4107142857142857;0.0;41;0.4107142857142857;0.20499944686889648;2053119
16;36201;35445;0.4520123839009288;0.0;45;0.4520123839009288;0.1999821662902832;2058308
17;36204;5474;0.5865724381625441;0.0;58;0.5865724381625441;0.2007448673248291;2070688
18;36204;9346;0.3738601823708207;0.0010142326354980469;37;0.3738601823708207;0.23709535598754883;2040911
19;36204;14831;0.43666666666666665;0.0;43;0.43666666666666665;0.18758392333984375;2044836
20;36204;23587;0.3652173913043478;0.0;36;0.3652173913043478;0.21664714813232422;2044506
21;36204;24892;0.4416403785488959;0.0;44;0.4416403785488959;0.20531868934631348;2053172
22;36204;30437;0.44516129032258067;0.0;44;0.44516129032258067;0.21752238273620605;2051065
23;36204;32357;0.48417721518987344;0.0;48;0.48417721518987344;0.26525115966796875;2063194
24;36204;33528;0.4723926380368098;0.0;47;0.4723926380368098;0.21956539154052734;2064761
25;36204;33529;0.4723926380368098;0.0;47;0.4723926380368098;0.19186711311340332;2064761
26;36204;33724;0.4583333333333333;0.0;45;0.4583333333333333;0.18600130081176758;2055108
27;36204;34587;0.3987538940809969;0.0;39;0.3987538940809969;0.1979970932006836;2044164
28;36205;4688;0.4226190476190476;0.0;42;0.4226190476190476;0.2113049030303955;2056227
29;36205;16547;0.39705882352941174;0.0;39;0.39705882352941174;0.20158600807189941;2051104
30;36205;18625;0.4725609756097561;0.0;47;0.4725609756097561;0.18999338150024414;2065696
31;36205;20943;0.3954154727793696;0.0;39;0.3954154727793696;0.1918184757232666;2054146
32;36206;11516;0.6027397260273972;0.0;60;0.6027397260273972;0.19287967681884766;2079169
33;36206;14384;0.5529801324503312;0.0;55;0.5529801324503312;0.19834136962890625;2072966
34;36207;17094;0.5209790209790209;0.0;52;0.5209790209790209;0.18908381462097168;2057716
35;36207;19954;0.47194719471947194;0.0;47;0.47194719471947194;0.1962299346923828;2054397
36;36208;18019;0.42758620689655175;0.0;42;0.42758620689655175;0.19109296798706055;2038607
37;36209;28789;0.5604838709677419;0.0;56;0.5604838709677419;0.18765687942504883;2046944
38;36210;18512;0.4391891891891892;0.0;43;0.4391891891891892;0.1876373291015625;2043743
39;36210;35198;0.4309210526315789;0.0;43;0.4309210526315789;0.20645785331726074;2045152
40;36211;31601;0.5415282392026578;0.0;54;0.5415282392026578;0.19707322120666504;2069779
41;36211;34914;0.4605678233438486;0.0;46;0.4605678233438486;0.25653886795043945;2057834
42;36213;16004;0.36182336182336183;0.0;36;0.36182336182336183;0.28799915313720703;2045757
43;36213;31966;0.43492063492063493;0.0;43;0.43492063492063493;1.5998458862304688;2050683
44;36215;14877;0.5588235294117647;0.0;55;0.5588235294117647;0.27105069160461426;2058941
45;36215;24679;0.39263803680981596;0.0;39;0.39263803680981596;0.2675931453704834;2044559
46;36215;24681;0.42662116040955633;0.0;42;0.42662116040955633;0.20034456253051758;2039621
47;36217;28620;0.40213523131672596;0.0;40;0.40213523131672596;0.1890242099761963;2029349
48;36219;16004;0.4478114478114478;0.0;44;0.4478114478114478;0.1988999843597412;2046153
49;36219;31966;0.39792387543252594;0.0;39;0.39792387543252594;0.1950540542602539;2031535
50;36220;14111;0.35340314136125656;0.0;35;0.35340314136125656;0.20019865036010742;2054422
51;36220;23094;0.3677811550151976;0.0;36;0.3677811550151976;0.1851189136505127;2039357
52;36220;23672;0.4263803680981595;0.0;42;0.4263803680981595;0.2666473388671875;2053106
53;36220;32926;0.47318611987381703;0.0;47;0.47318611987381703;0.2038888931274414;2060942
54;36221;20005;0.4332344213649852;0.0;43;0.4332344213649852;0.1982102394104004;2059414
55;36221;27567;0.41739130434782606;0.0;41;0.41739130434782606;0.18783235549926758;2058492
56;36222;12841;0.4254658385093168;0.0;42;0.4254658385093168;0.18654704093933105;2051236
57;36222;17487;0.5601374570446735;0.0;56;0.5601374570446735;0.19768595695495605;2068989
58;36224;15075;0.456973293768546;0.0;45;0.456973293768546;0.19269919395446777;2065630
59;36224;24610;0.5761589403973509;0.0;57;0.5761589403973509;0.1975998878479004;2078405
60;36225;10219;0.4316109422492401;0.0;43;0.4316109422492401;0.18842768669128418;2055674
61;36225;16912;0.5365853658536586;0.0;53;0.5365853658536586;0.18927240371704102;2082013
62;36225;22849;0.43283582089552236;0.0;43;0.43283582089552236;0.19568705558776855;2058479
63;36227;8530;0.5094339622641509;0.0;50;0.5094339622641509;0.19686198234558105;2045179
64;36231;7719;0.37228260869565216;0.0;37;0.37228260869565216;0.20564818382263184;2054870
65;36231;35320;0.7079037800687286;0.0;70;0.7079037800687286;0.19809746742248535;2102400
66;36232;3077;0.6459016393442623;0.0;64;0.6459016393442623;0.19348573684692383;2096513
67;36233;19726;0.5121951219512195;0.0;51;0.5121951219512195;0.1982555389404297;2075797
68;36237;17788;0.6733870967741935;0.0;67;0.6733870967741935;0.19238042831420898;2068700
69;36237;29732;0.44664031620553357;0.0;44;0.44664031620553357;0.24997615814208984;2027137
70;36242;13008;0.5221518987341772;0.0;52;0.5221518987341772;0.46766042709350586;2072518
71;36242;32820;0.4879518072289157;0.0;48;0.4879518072289157;0.18808650970458984;2071451
72;36243;20789;0.34563758389261745;0.0;34;0.34563758389261745;0.22273993492126465;2022922
73;36243;22741;0.42857142857142855;0.0;42;0.42857142857142855;0.1889948844909668;2031825
74;36243;30063;0.34;0.0;34;0.34;0.1940021514892578;2022303
75;36243;30826;0.3494809688581315;0.0;34;0.3494809688581315;0.23877263069152832;2020657
76;36244;3100;0.366412213740458;0.0;36;0.366412213740458;0.20210504531860352;2014639
77;36244;4230;0.6376146788990825;0.0;63;0.6376146788990825;0.1918926239013672;2044574
78;36245;29302;0.6379928315412187;0.0;63;0.6379928315412187;0.18974828720092773;2079696
79;36246;6861;0.3502824858757062;0.0;35;0.3502824858757062;0.19835233688354492;2043663
80;36246;18114;0.35964912280701755;0.0;35;0.35964912280701755;0.18493103981018066;2041938
81;36258;343;0.5827067669172933;0.0;58;0.5827067669172933;0.1927320957183838;2060798
82;36258;5173;0.4887459807073955;0.0;48;0.4887459807073955;0.18587946891784668;2062022
83;36258;5186;0.4792332268370607;0.0;47;0.4792332268370607;0.19048738479614258;2060626
84;36258;5919;0.4117647058823529;0.0;41;0.4117647058823529;0.1978592872619629;2041425
85;36258;6950;0.409375;0.0;40;0.409375;0.18763184547424316;2046416
86;36258;14244;0.5972696245733788;0.0;59;0.5972696245733788;0.18637633323669434;2078471
87;36258;18324;0.4298780487804878;0.0;42;0.4298780487804878;0.18950557708740234;2054818
88;36258;24452;0.5314685314685315;0.0;53;0.5314685314685315;0.22469305992126465;2060047
89;36345;362;0.4222222222222222;0.0;42;0.4222222222222222;0.1920032501220703;2029257
90;36345;3643;0.4114285714285714;0.0;41;0.4114285714285714;0.19705581665039062;2058887
91;36345;5379;0.4565916398713826;0.0;45;0.4565916398713826;0.18433165550231934;2054252
92;36345;9694;0.5505226480836237;0.0;55;0.5505226480836237;0.18680810928344727;2064788
93;36345;10916;0.5972696245733788;0.0;59;0.5972696245733788;0.19112682342529297;2078471
94;36345;14534;0.4425287356321839;0.0;44;0.4425287356321839;0.18678951263427734;2066499
95;36345;21010;0.5505226480836237;0.0;55;0.5505226480836237;0.2100515365600586;2064788
96;36345;21707;0.4887459807073955;0.0;48;0.4887459807073955;0.19807672500610352;2062022
97;36439;22983;0.39197530864197533;0.0;39;0.39197530864197533;0.1956617832183838;2043624
98;36439;31450;0.45302013422818793;0.0;45;0.45302013422818793;0.1939244270324707;2047786
99;36439;32225;0.39867109634551495;0.0;39;0.39867109634551495;0.19705653190612793;2036368
100;36440;13160;0.40683229813664595;0.0;40;0.40683229813664595;0.1931934356689453;2046574
101;36440;24964;0.46794871794871795;0.0;46;0.46794871794871795;0.1929926872253418;2057439
102;36441;8607;0.4684385382059801;0.0010027885437011719;46;0.4684385382059801;0.1934809684753418;2052685
103;36441;11002;0.4055727554179567;0.0;40;0.4055727554179567;0.19514060020446777;2046653
104;36441;21062;0.3746031746031746;0.0;37;0.3746031746031746;0.9659695625305176;2035920
105;36441;23873;0.40390879478827363;0.0;40;0.40390879478827363;0.24898958206176758;2039950
106;36441;25915;0.45454545454545453;0.0;45;0.45454545454545453;0.2080676555633545;2057215
107;36441;27860;0.43465045592705165;0.0;43;0.43465045592705165;0.19397282600402832;2056451
108;36441;28622;0.40993788819875776;0.001051187515258789;40;0.40993788819875776;0.24147629737854004;2047351
109;36441;29494;0.40993788819875776;0.0;40;0.40993788819875776;0.21614909172058105;2047351
110;36441;29635;0.40993788819875776;0.0;40;0.40993788819875776;0.22601723670959473;2047351
111;36441;31665;0.42679127725856697;0.0;42;0.42679127725856697;0.19347739219665527;2051157
112;36441;32886;0.40993788819875776;0.0;40;0.40993788819875776;0.19305706024169922;2047351
113;36441;33770;0.444794952681388;0.0;44;0.444794952681388;0.26906442642211914;2053949
114;36441;34035;0.4144736842105263;0.0;41;0.4144736842105263;0.189361572265625;2041267
115;36441;35018;0.40993788819875776;0.0;40;0.40993788819875776;0.22516250610351562;2047351
116;36442;1713;0.43205574912891986;0.0;43;0.43205574912891986;0.1917126178741455;2038370
117;36442;1820;0.597457627118644;0.0;59;0.597457627118644;0.2103102207183838;2047550
118;36442;7723;0.44086021505376344;0.0;44;0.44086021505376344;0.1909797191619873;2036961
119;36442;11780;0.42560553633217996;0.0;42;0.42560553633217996;0.2811615467071533;2037751
120;36442;13848;0.42560553633217996;0.0;42;0.42560553633217996;0.19196128845214844;2037751
121;36442;14032;0.597457627118644;0.0;59;0.597457627118644;0.19368624687194824;2047550
122;36442;23759;0.4584717607973422;0.0;45;0.4584717607973422;0.18502426147460938;2050354
123;36442;26706;0.43006993006993005;0.0010120868682861328;43;0.43006993006993005;0.2171788215637207;2037514
124;36442;29213;0.42560553633217996;0.0;42;0.42560553633217996;0.2103710174560547;2037751
125;36457;31795;0.4527027027027027;0.0;45;0.4527027027027027;0.324596643447876;2046851
126;36480;17529;0.5513698630136986;0.0;55;0.5513698630136986;0.42872023582458496;2067514
127;36480;23151;0.5087719298245614;0.0;50;0.5087719298245614;0.20456528663635254;2054529
128;36480;27834;0.38235294117647056;0.0;38;0.38235294117647056;0.1892871856689453;2034432
129;36717;14111;0.35691318327974275;0.0;35;0.35691318327974275;0.39086389541625977;2030165
130;36717;33728;0.42412451361867703;0.0;42;0.42412451361867703;0.1950538158416748;2024345
131;36717;33756;0.42412451361867703;0.0;42;0.42412451361867703;0.20493674278259277;2024345
132;36718;32981;0.3385416666666667;0.0;33;0.3385416666666667;0.20184636116027832;2050695
133;36720;22156;0.5254901960784314;0.0;52;0.5254901960784314;0.19399619102478027;2043612
134;36720;33790;0.42474916387959866;0.0;42;0.42474916387959866;0.19246816635131836;2041649
135;36721;11624;0.4555160142348754;0.0;45;0.4555160142348754;0.20052838325500488;2041004
136;36721;23133;0.5653710247349824;0.0;56;0.5653710247349824;0.22477126121520996;2066026
137;36721;27567;0.3901639344262295;0.0;39;0.3901639344262295;0.18712925910949707;2035907
138;36721;27990;0.5641025641025641;0.0;56;0.5641025641025641;0.2519843578338623;2060574
139;36722;21102;0.49696969696969695;0.0;49;0.49696969696969695;0.19403457641601562;2072847
140;36722;33981;0.4888888888888889;0.0;48;0.4888888888888889;0.1893460750579834;2063892
